2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Okt	VJ158 SVF prostatacancer - start av första behandling, palliativ	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Start av Behandling	1	1
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Okt	VJ176 SVF prostatacancer - avslut av SVF innan start av behandling, patientens val	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	Avslutad SVF	1	3
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Okt	VJ178 SVF prostatacancer - avslut av SVF innan start av behandling, misstanke om cancer avskrivs	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Avslutad SVF	1	15
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Nov	VJ152 SVF prostatacancer - start av första behandling, läkemedel	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Start av Behandling	2	63
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Nov	VJ158 SVF prostatacancer - start av första behandling, palliativ	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Start av Behandling	1	15
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Nov	VJ160 SVF prostatacancer - beslut om expektans	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Start av Behandling	2	82
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Nov	VJ170 SVF prostatacancer - avslut av SVF innan start av behandling, kriterier för välgrundad misstanke ej uppfyllda	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Avslutad SVF	1	24
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Nov	VJ178 SVF prostatacancer - avslut av SVF innan start av behandling, misstanke om cancer avskrivs	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Avslutad SVF	5	164
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Dec	VJ150 SVF prostatacancer - start av första behandling, kirurgi	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Start av Behandling	5	287
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Dec	VJ152 SVF prostatacancer - start av första behandling, läkemedel	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Start av Behandling	2	104
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Dec	VJ152 SVF prostatacancer - start av första behandling, läkemedel	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	Start av Behandling	1	60
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Dec	VJ158 SVF prostatacancer - start av första behandling, palliativ	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Start av Behandling	1	41
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Dec	VJ178 SVF prostatacancer - avslut av SVF innan start av behandling, misstanke om cancer avskrivs	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Avslutad SVF	6	251
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2016-Jan	VJ150 SVF prostatacancer - start av första behandling, kirurgi	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Start av Behandling	2	187
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2016-Jan	VJ150 SVF prostatacancer - start av första behandling, kirurgi	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	Start av Behandling	1	102
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2016-Feb	VJ150 SVF prostatacancer - start av första behandling, kirurgi	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Start av Behandling	1	130
2015-Okt	VJ110 SVF prostatacancer - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2016-Feb	VJ154 SVF prostatacancer - start av första behandling, strålning	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Start av Behandling	1	121
2015-Okt	VK110 SVF cancer i urinblåsan och urinvägarna - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Okt	VK178 SVF cancer i urinblåsan och urinvägarna - avslut av SVF innan start av behandling, misstanke om cancer avskrivs	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Avslutad SVF	13	200
2015-Okt	VK110 SVF cancer i urinblåsan och urinvägarna - beslut välgrundad misstanke om cancer	207 Närsjukvård i centrala Östergötland	207202 Enheten samordnad cancerutredning	2015-Nov	VK150 SVF cancer i urinblåsan och urinvägarna - start av första behandling, kirurgi	060 Centrum för kirurgi ortopedi och cancervård	060526 Urologiska kliniken i Östergötland	Start av Behandling	3	87
